종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2115","25","1.20","2040","2135","2010","764706","1596637201","112219869600","53059040"
"095570","AJ네트웍스","KOSPI",,"3685","-10","-0.27","3695","3725","3645","95536","351200095","166756416915","45252759"
"006840","AK홀딩스","KOSPI",,"10080","-200","-1.95","10200","10200","9950","9301","93120020","133535414880","13247561"
"054620","APS","KOSDAQ","중견기업부","5890","-120","-2.00","5940","6000","5780","8247","48066940","117176961690","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","16720","-200","-1.18","16650","17170","16410","58582","983029840","255505359120","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11100","-140","-1.25","11050","11450","11010","38492","429923405","167413574400","15082304"
"109960","AP헬스케어","KOSDAQ","투자주의환기종목(소속부없음)","455","9","2.02","442","514","436","264711","123429505","91359117395","200789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3365","30","0.90","3310","3380","3310","64637","216981795","322087001715","95716791"
"282330","BGF리테일","KOSPI",,"110200","6700","6.47","102900","110600","101500","73122","7783212400","1904686441200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2635","25","0.96","2590","2650","2565","21881","57300340","165390778865","62766899"
"138930","BNK금융지주","KOSPI",,"9920","60","0.61","9770","9930","9630","832382","8142793620","3158364508480","318383519"
"001460","BYC","KOSPI",,"26500","100","0.38","26100","26600","26100","475","12512850","165522975000","6246150"
"001465","BYC우","KOSPI",,"12350","-50","-0.40","12400","12400","12160","468","5723920","26600047500","2153850"
"013720","CBI","KOSDAQ","중견기업부","717","-24","-3.24","735","763","702","219469","158180595","36658878531","51128143"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2115","-5","-0.24","2065","2130","2065","62288","130696007","162631194930","76894182"
"001040","CJ","KOSPI",,"131400","8500","6.92","122900","133700","119600","377064","48193508100","3833857537200","29176998"
"079160","CJ CGV","KOSPI",,"4625","275","6.32","4230","4635","4230","268342","1209308594","765808721000","165580264"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","60200","1300","2.21","57800","61200","57800","87342","5254408200","1320135070800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9880","-50","-0.50","9930","10090","9760","12991","128630175","129086764560","13065462"
"00104K","CJ4우(전환)","KOSPI",,"100800","5100","5.33","94700","101500","93900","44712","4423990800","426032409600","4226512"
"000120","CJ대한통운","KOSPI",,"89300","6400","7.72","83400","89400","82600","87221","7594284000","2037142319200","22812344"
"011150","CJ씨푸드","KOSPI",,"3145","105","3.45","3020","3165","3020","415466","1291660155","113002281085","35930773"
"011155","CJ씨푸드1우","KOSPI",,"17100","-50","-0.29","17000","18160","16910","5716","99207020","3420000000","200000"
"001045","CJ우","KOSPI",,"66000","1500","2.33","64500","67500","63400","10652","697943550","149174718000","2260223"
"097950","CJ제일제당","KOSPI",,"245000","8500","3.59","234000","245500","233500","51487","12360414000","3688275570000","15054186"
"097955","CJ제일제당 우","KOSPI",,"132700","1500","1.14","131000","132800","129600","2138","280350100","176150359100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23350","800","3.55","22550","23600","22100","39673","913166150","277201533100","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2080","80","4.00","2000","2125","1981","1768986","3673815536","288895867520","138892244"
"023460","CNH","KOSDAQ","관리종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","664","-2","-0.30","664","667","641","12970","8475240","49209827504","74111186"
"000480","CR홀딩스","KOSPI",,"4930","10","0.20","4935","4960","4880","10199","50036800","231170115700","46890490"
"065770","CS","KOSDAQ","벤처기업부","1651","-29","-1.73","1720","2050","1500","4147350","7661813944","32047775630","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","685","0","0.00","670","697","650","73366","49565282","41954318985","61247181"
"000590","CS홀딩스","KOSPI",,"72200","-400","-0.55","72300","72800","72000","126","9128200","83353600400","1154482"
"012030","DB","KOSPI",,"1213","4","0.33","1207","1232","1185","103353","125205750","244023980729","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2240","40","1.82","2200","2250","2185","107314","239311115","11905600000","5315000"
